"","state","SHA_miles","state_controlled_lane_miles","SHA_ratio","capital_disbursement","maintenance_disbursement","admin_disbursement","total_disbursement","rural_interstate_above_170","rural_interstate_total","rural_OPA_above_220","rural_OPA_total","urban_interstate_above_170","urban_interstate_total","urban_OPA_above_220","urban_OPA_total","total_fatalities","rural_I_OFE_OPA_fatalities","urban_I_OFE_OPA_fatalities","total_VMT","rural_VMT","urban_VMT","total_bridges","total_poor_bridges","state_tot_congestion_hours","state_tot_commuters","state_avg_congestion_hours","capital_disbursement_per_vmt","maintenance_disbursement_per_vmt","admin_disbursement_per_vmt","rural_interstate_poor_percent","urban_interstate_poor_percent","rural_OPA_poor_percent","urban_OPA_poor_percent","poor_bridges_percent","rural_fatalities_per_100m_VMT","urban_fatalities_per_100m_VMT","overall_score","capital_disbursement_per_vmt_rank","maintenance_disbursement_per_vmt_rank","admin_disbursement_per_vmt_rank","rural_interstate_poor_percent_rank","urban_interstate_poor_percent_rank","rural_OPA_poor_percent_rank","urban_OPA_poor_percent_rank","poor_bridges_percent_rank","rural_fatalities_per_100m_VMT_rank","urban_fatalities_per_100m_VMT_rank","overall_score_rank"
"39","Rhode Island",1104.673,2869.8,2.59787285468188,356087,113401,35653,631456,0.049,17.843,4.132,97.3,1.301,52.166,102.412,341.337,67,6,35,6864.09328,503.39365,4205.40235,779,136,19984675.740627,533718.388902244,37.4442330565593,51876.7716979511,16520.9001938272,5194.13104479256,0.27461749705767,2.4939615841736,4.24665981500514,30.0031933250717,17.4582798459564,1.19191014825078,0.832262815471152,1.58053091974142,47,40,38,3,18,49,49,48,26,16,46
"40","South Carolina",41266.815,90552.099,2.19430792029867,1903048,385182,126634,2487783,5.182,546.291,15.402,1545.711,3.453,304.299,43.046,1024.109,1064,351,172,53972.05201,12029.59601,16048.10832,9395,499,23090720.3793477,1692922.94092296,13.6395578447055,35259.8785691417,7136.69363411703,2346.2884082402,0.948578687915415,1.13473918744393,0.996434650461826,4.20326351980112,5.3113358169239,2.91780372099129,1.07177741183143,0.876622714555223,37,18,19,19,3,24,8,23,50,30,30
"41","South Dakota",7750.985,17955.264,2.31651383662851,245906,98602,113589,496054,2.585,591.032,17.775,2591.021,1,87.749,9.333,135.644,141,51,15,9742.50787,4084.57771,1390.44752,5886,1018,1500276.39076247,199603.657026168,7.51627707184637,25240.5236188944,10120.802704571,11659.1129836059,0.437370565383939,1.13961412665671,0.686023000199535,6.8805107487246,17.2952769283044,1.2485990871257,1.07878936703774,0.589914228779161,21,30,47,8,4,18,19,47,29,31,9
"42","Tennessee",14065.821,37746.437,2.68355732665729,1172329,403701,235296,1846165,4.289,644.566,8.025,1704.905,9.231,556.434,91.121,1833.03,1217,155,418,76392.47494,13282.08868,28835.17347,20331,841,23208692.1992317,2245805.01000093,10.3342418847049,15346.1319445504,5284.56500875347,3080.09395146323,0.665408972859257,1.65895685741705,0.470700713529493,4.97105884791847,4.13654025871821,1.16698513113677,1.44961846834348,0.455126467955881,4,8,24,12,10,13,10,11,23,47,4
"43","Texas",80719.895,198465.385,2.45869230875486,9622499,2101734,432230,14869066,24.745,1999.67,33.761,8375.675,57.88,1457.295,893.915,6164.882,3874,630,1285,260581.95545,41025.34398,116488.25886,55175,789,370181457.292509,10483903.8506093,35.3095051774053,36926.9582898895,8065.53929020337,1658.71040169907,1.23745417993969,3.97174216613657,0.403083930548881,14.5001153306746,1.42999546896239,1.53563611875412,1.10311546637877,1.26990287011752,38,22,8,22,30,9,37,3,40,34,43
"44","Utah",5874.994,16022.842,2.72729504064174,938924,258207,67478,1677547,2.078,684.641,5.09,1191.271,6.822,253.418,20.662,656.245,276,53,102,30251.18348,5412.94914,13063.4082,3056,63,12400409.8424783,1162710.54545455,10.6650876187164,31037.5956240109,8535.43466062109,2230.59041787941,0.303516733587384,2.69199504376169,0.427274734296394,3.14851922681316,2.06151832460733,0.97913353015543,0.780806956640917,0.749206227163443,28,24,15,4,20,11,5,5,16,13,22
"45","Vermont",2628.169,5997.863,2.28214509797505,194913,117302,81241,473140,2.919,255.284,5.902,328.649,0.881,64.308,8.911,125.403,62,13,7,6006.9751,1577.74718,935.14707,2836,68,684472.797736528,93345.1818181818,7.33270624583224,32447.7789162136,19527.6321355153,13524.4442747898,1.14343241252879,1.36996952167693,1.79583689589806,7.10589060867762,2.39774330042313,0.823959640986333,0.748545359822386,0.719373384115863,32,44,49,21,6,38,21,7,6,12,17
"46","Virginia",59247.388,128988.6,2.17711876175875,1530009,1769492,478453,4497796,2.068,598.2,4.66,1635.352,13.358,520.757,82.509,1353.132,850,175,216,76110.26923,14531.46916,31458.82974,13997,530,67360613.7471942,3029205.04582251,22.2370597989361,20102.530387541,23249.0571627426,6286.31332986286,0.345703778000669,2.56511194280634,0.284953942637426,6.0976312732239,3.78652568407516,1.20428291229983,0.686611681951269,0.74177156609806,12,48,42,5,19,3,16,10,27,10,21
"47","Washington",7052.28,18449.7,2.61613265497116,1807166,1048661,299185,3741480,17.6,428.99,15.64,1312.376,9.78,334.59,246.557,1408.649,560,66,138,53658.2413,8151.52786,23958.66931,8358,401,50371844.7731665,2555959.48633421,19.7076068859802,33679.1880653755,19543.3352751351,5575.75113815741,4.10265973565817,2.92298036402762,1.19173163788426,17.5030827409809,4.79779851639148,0.809664165215771,0.575991922649898,0.94909884689583,34,45,39,45,22,30,44,15,4,6,34
"48","West Virginia",34421.598,71053.824,2.06422212007705,910892,334687,66194,1483700,10.998,319.352,29.661,1012.214,21.142,235.238,22.721,395.754,267,43,45,16054.14025,3780.86909,4739.48165,7314,1490,2791910.35377483,372147.294473772,7.50216485578023,56738.7593365518,20847.3948020979,4123.1731484344,3.44384879380746,8.98749351720385,2.9303092033898,5.74119276115971,20.3718895269346,1.13730465076748,0.949470919462258,1.168885200722,48,47,31,44,45,45,14,50,21,21,41
